number,formid,form.sampleid,form.barcode,form.sampleid_no_match,form.sample_type,form.study_type,form.p_location,form.t_location,form.s_location,form.ec_dd,form.ec_th,form.ev_lat_lon,form.ev_way,form.ev_way_deviceID,form.neighbor,form.source_ty_ocean,form.other_source_ocean,form.produce_type,form.produce_quantity,form.water_level,form.water_flow,form.drain_size,form.drain_lining,form.currently_raining,form.rain_last_day,form.feces_near,form.animals_near,form.housolds_present,form.num_households_present,form.schools_present,form.pub_latrines_present,form.hh_latrines_present,form.orn_ag_present,form.businesses_present,form.source_ty,form.other_source,form.containr,form.covered,form.free_cl,form.total_cl,form.surface_source_ty,form.surface_source_ty_other,form.source_dist,form.particle_sample_type,form.particle_sample_type_other,form.swab_surface,form.swab_surface_other,form.source_type,form.source_type_other,form.n_stall,form.vis_fec,form.latrine_user_num,form.hw_stat,form.dis_lat,form.notes,form.collection_enumerator_names,form.@uiVersion,openrosa_headers.HTTP_X_OPENROSA_VERSION,date_header,auth_context.doc_type,auth_context.domain,form.collector_id,auth_context.user_id,_rev,computed_modified_on_,form.meta.location.@xmlns,form.ev_notes,auth_context.authenticated,form.#type,initial_processing_complete,form.sample_weight,path,domain,completed_time,started_time,username,received_on,caseid,case_name
352,d1ba5214-e68f-4642-8f64-f0b6905a5632,478,478,---,1,S,---,---,7,2016-06-28,10:03:00.000Z,5.56790855 -0.1843498 55.0 4.0,478,WRI 0,Ringway,---,---,---,---,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-543caf01dd788774da219c8e6cad8e86,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-28 10:05:30,2016-06-28 10:01:38,mchrisk,2016-06-28 10:05:38,---,---
353,d409e36e-7d71-4af9-a884-bdae97af78e6,294,294,---,3,---,---,---,---,2016-06-07,11:35:00.000Z,5.56299918 -0.21037594 54.0 5.0,294,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.1,0.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-e87bb1a3944bcb19333f5f8124c3f027,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-07 11:43:07,2016-06-07 11:35:35,mchrisk,2016-06-07 14:05:25,---,---
354,d3da53b0-4f50-4a9d-bd72-0721f94264b4,385,385,---,7,---,---,---,---,2016-06-20,11:55:00.000Z,5.5571185 -0.21599253 29.0 5.0,385,WRI3,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,4,---,4,0,9999,1,---,Swabbed door handle and latrine wall,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-92c67dc1cecfc7d0030b9dc041debc51,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-20 11:56:42,2016-06-20 11:55:30,bnbboye,2016-06-20 11:56:46,---,---
355,d23833a4-3dd0-452c-91a7-a8507193aee4,126,126,---,3,---,---,---,---,2016-05-04,13:05:00.000Z,5.52676536 -0.2430161 35.0 5.0,126,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.1,0.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,public washroom within 3m,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-0c27b6c7718c7edf980b1e2617eb365a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-04 13:14:25,2016-05-04 13:05:05,cafrimpong,2016-06-03 17:11:05,---,---
356,d8b1cafb-22a1-4aaa-ac8e-d8c83386c097,670,670,---,7,---,---,---,---,2016-04-28,09:41:00.000Z,5.53093107 -0.24366033 35.0 5.0,8120,WRI 15,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,3,1,---,No soap at handwashing station,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-a44911dfe34de357adb00e5fd752d85c,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-28 09:47:11,2016-04-28 09:40:41,mchrisk,2016-05-03 10:28:29,---,---
357,d8fbc14a-05bf-406f-83b6-a372c41526a9,261,261,---,3,---,---,---,---,2016-06-07,10:04:00.000Z,5.56161607 -0.21028555 52.0 9.0,261,WRI4,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.01,0.05,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-74826ce8c51b4cf9a76a20163725b8d1,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-07 10:12:37,2016-06-07 10:03:29,bnbboye,2016-06-07 10:14:28,---,---
358,deb0f3b8-5fcb-46b9-9055-419e88721d4e,382,382,---,7,---,---,---,---,2016-06-20,11:10:00.000Z,5.55679207 -0.21374966 62.0 5.0,382,WRI3,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,4,---,4,0,9999,0,---,"Swabbed  door handle and latrine wall. 
Wet floor in toilet.",BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-65e1a2a6b1a329478e0c7bd192189147,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-20 11:12:49,2016-06-20 11:10:31,bnbboye,2016-06-20 11:12:57,---,---
359,df458c89-315d-4dbe-834e-84e7038c0fa1,431,431,---,7,---,---,---,---,2016-06-23,10:59:00.000Z,5.55385735 -0.18270329 41.0 5.0,431,WRI 15,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,"Public school laterine, laterine wall",5,---,3,0,9999,1,---,No soap present,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-b41b2cdd64a75c53bbe6a671d7e4ecd8,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-23 11:00:59,2016-06-23 10:58:54,cafrimpong,2016-06-23 11:01:08,---,---
360,df67c2cc-1491-41a2-93f6-741d67644755,408,408,---,2,---,---,---,---,2016-06-22,09:45:00.000Z,5.55579095 -0.18689237 40.0 5.0,408,WRI 2,Ringway,---,---,tomatoes,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,within 3m of open drain,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-cf7bf140d732d699cfa7987310121ce3,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-22 09:47:29,2016-06-22 09:45:29,rkuddy,2016-06-22 09:49:18,---,---
361,d00904a1-ca9f-4cc5-b1b5-9cf4a36dd9a5,554,554,---,7,---,---,---,---,2016-07-08,11:00:00.000Z,5.56172594 -0.18391099 118.0 5.0,554,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,0,9999,0,---,latrine floor swabbed,RK,1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-cecfed759adb1f27c83c61502cd71be7,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-08 11:02:00,2016-07-08 10:59:26,rkuddy,2016-07-08 11:03:58,---,---
362,d053ac44-e72b-43fb-9446-a1cef962302c,736,736,---,7,---,---,---,---,2016-04-27,12:22:00.000Z,5.52922296 -0.24038259 51.0 4.0,7117,SP 10,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,5,---,1,0,3,0,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-3924698717e38f89407744c95f71540f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 12:26:28,2016-04-27 12:21:44,mchrisk,2016-04-27 12:26:32,---,---
363,db4b41ff-6733-4493-9fc4-620959078ab3,322,322,---,1,T,---,2,---,2016-06-14,10:30:00.000Z,5.56226311 -0.20989917 40.0 4.0,24,WRI,Adabraka,---,---,---,---,1,2,1,1,0,0,0,0,1,1,1,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-71991ab94f8af95479598693c7754a57,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-14 10:32:48,2016-06-14 10:30:16,rkuddy,2016-06-14 10:34:41,---,---
364,dd2e79f5-7d7d-4149-9769-7d4097b9d537,202,202,---,8,---,---,---,---,2016-05-11,10:14:00.000Z,5.52846533 -0.24066265 50.0 5.0,202,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,1,---,---,---,---,---,---,---,---,---,9999,within 3m of trash,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-fb74c98919510eeb75a2abccf7a3d52b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-11 21:16:09,2016-05-11 21:13:58,rkuddy,2016-05-11 10:16:44,---,---
365,ddb521b0-b4db-4e33-82c3-bfbe43cf8e5c,792,792,---,7,---,---,---,---,2016-04-28,10:38:00.000Z,5.52954222 -0.24881676 40.0 5.0,2223,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,5,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-f70d799905ad8c6d28ee3a92596715c7,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-28 21:39:58,2016-04-28 21:37:34,rkuddy,2016-05-03 09:15:37,---,---
366,094b2869-420b-4bcc-8bf9-149df8de7bc2,705,705,---,7,---,---,---,---,2016-04-26,10:59:00.000Z,5.52799735 -0.24584286 44.0 6.0,228,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,---,5,---,1,0,2,1,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-9d9dcc35a86d990fe7f105a9a33be74b,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-26 11:00:37,2016-04-26 10:58:33,rkuddy,2016-04-26 11:00:40,---,---
367,01fd64b0-f896-42b3-9a4e-847f8fa4ad33,693,693,---,2,---,---,---,---,2016-04-21,09:49:00.000Z,5.52635572 -0.2463606 47.0 4.0,693,WRI 2,Chorkor,---,---,tomatoes,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,sample was uncovered,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-c19119406a0a4512888a5e6239928210,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-21 09:52:00,2016-04-21 09:48:22,rkuddy,2016-04-21 09:52:24,---,---
368,04ff6cb7-85bf-434d-ae52-3bf657695d96,687,687,---,2,---,---,---,---,2016-04-21,10:56:00.000Z,5.53043658 -0.24098494 55.0 7.0,687,WRI 3,Chorkor,---,---,Tomatoes,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 3m of drain,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-05a4f93380e62f8410760e5f84c2292a,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-21 10:58:03,2016-04-21 10:56:35,mchrisk,2016-04-21 10:58:08,---,---
369,0b47b9c0-11e6-4f40-8621-a5ab5f5a07ec,539,539,---,1,S,---,---,10,2016-07-18,12:31:00.000Z,5.57804435 -0.21114956 66.0 3.0,539,WRI 3,Kokomlemle,---,---,---,---,1,1,2,1,0,0,1,0,1,2,0,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain filled with trash,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-d49de859572440bd489c676df9ff7780,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-18 12:33:40,2016-07-18 12:30:58,rkuddy,2016-07-18 12:33:46,---,---
370,0bbfe3d4-8e04-45e3-8c69-63420cc9ebbc,440,440,---,1,S,---,---,11,2016-06-28,11:16:00.000Z,5.56492544 -0.18972658 73.0 5.0,11,WRI 0,Ringway,---,---,---,---,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"Extremely low water level, filled with trash","MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-f7c4d1d7ea919fd686822111517ff0b1,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-28 11:20:38,2016-06-28 11:14:58,mchrisk,2016-06-28 11:20:46,---,---
371,0fbc9f8b-68dd-44ad-9283-e97963db8d56,718,718,---,7,---,---,---,---,2016-04-26,12:38:00.000Z,5.52729356 -0.24028733 39.0 5.0,71102,WRI 3,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,Latrine wall,5,---,1,0,3,0,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-2dfc1b14e1ad88dc296ed0d545bffe65,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-26 11:39:10,2016-04-26 11:37:53,cafrimpong,2016-04-26 11:39:14,---,---
372,10969ccc-0a81-4064-8080-5ecd6e9c5d5e,214,214,---,1,S,---,---,10,2016-05-12,10:35:00.000Z,5.52652043 -0.24706076 44.0 5.0,214,WRI 5,Chorkor,---,---,---,---,1,2,2,1,0,0,0,0,0,---,1,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-3d468bbb8da85087f21027e1715f571d,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-12 10:42:17,2016-05-12 10:34:06,cafrimpong,2016-06-03 17:13:14,---,---
373,00fc40ba-4a06-4a07-80cf-9751c664bbd0,572,572,---,7,---,---,---,---,2016-07-20,11:01:00.000Z,5.57814138 -0.21479045 56.0 5.0,572,WRI 5,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,4,---,1,1,14,0,---,N/A,CKAF,1,1.0,---,AuthContext,sp-accra,---,94fbda39e376b90446a3f0b822ce5078,2-e3d88f7191f75c257db153155894ae0c,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-20 11:04:59,2016-07-20 11:00:34,cafrimpong,2016-07-21 10:04:06,---,---
374,014226a6-4aa7-4e3e-a221-f1e9a1cc7f3d,383,383,---,7,---,---,---,---,2016-06-20,11:24:00.000Z,5.55802929 -0.21461048 41.0 5.0,383,WRI3,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,4,1,---,Swabbed latrine walls and toilet seat.,BNBB,1,1.0,---,AuthContext,sp-accra,---,3b74088468b9017329b42841ed7918fe,2-e0f1ddafb35d18a0eb9cbb2eadbc0a9f,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-20 11:28:38,2016-06-20 11:24:22,bnbboye,2016-06-20 11:28:42,---,---
375,014737da-f602-4fbd-905b-89e8e6831830,292,292,---,3,---,---,---,---,2016-06-07,10:49:00.000Z,5.56380324 -0.2125225 49.0 5.0,292,WRI 15,Adabraka,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3,---,0,---,0.05,0.15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-255471b79c95ac4c25c388aca7f4054e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-07 10:59:08,2016-06-07 10:48:48,mchrisk,2016-06-07 14:05:18,---,---
376,017a1c6c-4756-4a1a-adf5-6bede7190cc3,241,241,---,1,P,3,---,---,2016-05-18,10:18:00.000Z,5.53065398 -0.24467706 40.0 5.0,241,WRI 2,Chorkor,---,---,---,---,3,2,1,1,0,0,0,0,1,3,1,0,0,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain filled with trash,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-477e6dc55614b7df0a51cad9fa2388a2,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-05-18 21:20:16,2016-05-18 21:18:26,rkuddy,2016-05-18 10:20:53,---,---
377,0d6e99d7-fdff-475d-afaa-2e498dba0161,369,369,---,1,T,---,1,---,2016-06-29,10:27:00.000Z,5.56344526 -0.1933295 53.0 4.0,21,WRI4,Ringway,---,---,---,---,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,The compound within 3 meters houses multiple people.,"BNBB, CKF, MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-6fe2a658c4d3f4ddad93fb1cacee693e,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-29 10:31:16,2016-06-29 10:25:11,mchrisk,2016-06-29 10:31:24,---,---
378,0d950b2f-f235-40ae-a3ed-e1af7d4d6f95,288,288,---,2,---,---,---,---,2016-06-06,12:01:00.000Z,5.56198594 -0.21278158 44.0 6.0,288,WRI 15,Adabraka,---,---,Tomatoes,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-4619b536c69468eabc8324dc87feb7f4,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-06 12:03:12,2016-06-06 12:01:16,mchrisk,2016-06-06 12:03:27,---,---
379,0dae3b98-4366-4d1e-af73-8185134cf365,701,701,---,7,---,---,---,---,2016-04-25,11:58:00.000Z,5.52462134 -0.24981802 23.0 7.0,223,WRI 2,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,compound floor,5,---,1,0,4,0,---,NA,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-1f9e09f03265cf648a9dd9bcd7ac9cbe,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-25 12:02:57,2016-04-25 11:57:42,rkuddy,2016-04-26 10:29:27,---,---
380,07823c07-366d-4653-b046-074ac4c4a37b,587,587,---,1,S,---,---,3,2016-07-19,11:56:00.000Z,5.57444863 -0.20647509 54.0 4.0,587,WRI 3,Kokomlemle,---,---,---,---,1,1,2,1,0,0,0,0,1,1,0,0,1,0,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Drain filled with trash and plastic bags,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-2d8b9ad677108691d3a95d458dc08362,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-19 11:57:48,2016-07-19 11:55:02,rkuddy,2016-07-19 11:57:56,---,---
381,07fb5e49-ccc2-404e-b8a7-6cdc1621366d,398,398,---,8,---,---,---,---,2016-06-23,10:49:00.000Z,5.55430881 -0.18259922 35.0 5.0,398,WRI 3,Ringway,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,1,---,---,---,---,---,---,---,---,---,10,School play ground sampled,"BNBB,RK",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-82f3b345660ed73a393e2ad16fea9837,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-23 10:51:15,2016-06-23 10:49:12,rkuddy,2016-06-23 10:53:06,---,---
382,0524e73b-0f1f-4f32-9855-58bf70299c69,494,494,---,8,---,---,---,---,2016-07-05,12:59:00.000Z,5.57563368 -0.20485445 55.0 10.0,494,WRI 3,Kokomlemle,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,1,---,---,---,---,---,---,---,---,---,25,school play ground sampled.within 3m of urinal,"BNBB,RK,MC",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef353f,2-1e2afc4c3ef76dc8f4925575c6eaee96,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-07-05 13:01:48,2016-07-05 12:59:24,rkuddy,2016-07-05 13:03:45,---,---
383,032d605e-9c84-4942-88ae-d01df012d3d5,300,300,---,1,T,---,3,---,2016-06-14,10:44:00.000Z,5.56314893 -0.20981825 70.0 5.0,21,WRI 15,Adabraka,---,---,---,---,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Within 10m of medical lab and 10m of basic school,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-4cd0abf7289d79dfaeae8805dd5e306c,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-06-14 10:48:55,2016-06-14 10:43:53,mchrisk,2016-06-14 10:49:09,---,---
384,1587c9b0-6d85-47f7-b239-121c7fec3f28,735,735,---,7,---,---,---,---,2016-04-27,12:14:00.000Z,5.52920775 -0.24128019 44.0 7.0,7116,SP 10,Chorkor,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,5,---,1,0,2,1,---,N/A,"MC, CKAF",1,1.0,---,AuthContext,sp-accra,---,111ad04bb56a5f5971ef4b54b0ef332b,2-a6ecaa2e91403f0ca4166f5dfbb87245,---,http://commcarehq.org/xforms,---,TRUE,sample_collection_a,TRUE,---,/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/,sp-accra,2016-04-27 12:16:48,2016-04-27 12:14:19,mchrisk,2016-04-27 12:16:57,---,---
